Voltage (V),Average Current (mA),Maximum Current (mA),Power (mW)
3.657424547283702,-1.0398295058555775e-05,2.920072377862357e-05,-3.8030979597060716e-05
3.634567404426559,-8.805784543601992e-06,3.893429837149809e-05,-3.2005217472579003e-05
3.6117102615694163,-8.84806358382201e-06,3.893429837149809e-05,-3.195664204070862e-05
3.588853118712273,-1.0452318276614705e-05,3.893429837149809e-05,-3.7511835044801976e-05
3.5659959758551305,-8.67659858737417e-06,4.8667872964372623e-05,-3.09407156466866e-05
3.543138832997988,-1.0628696948627556e-05,3.893429837149809e-05,-3.765894890284951e-05
3.5202816901408447,-1.0285550951302402e-05,4.8667872964372623e-05,-3.6208036686880594e-05
3.497424547283702,-7.746939102989933e-06,4.8667872964372623e-05,-2.7094334985108976e-05
3.4745674044265593,-9.404737613385493e-06,3.893429837149809e-05,-3.267739475865367e-05
3.451710261569416,-9.695984152737877e-06,3.893429837149809e-05,-3.346772799601977e-05
3.4288531187122735,-7.6078784040349524e-06,4.8667872964372623e-05,-2.6086297592459e-05
3.405995975855131,-1.0069458079066808e-05,3.893429837149809e-05,-3.4296533696343485e-05
3.3831388329979877,-9.649016512434447e-06,3.893429837149809e-05,-3.264396246345579e-05
3.360281690140845,-9.468156173715522e-06,3.893429837149809e-05,-3.181567182993027e-05
3.337424547283702,-7.932452346135185e-06,4.8667872964372623e-05,-2.647396118014976e-05
3.314567404426559,-1.0057792139052766e-05,4.8667872964372623e-05,-3.3337229984601976e-05
3.2917102615694165,-7.620642336823673e-06,3.893429837149809e-05,-2.5084946579872823e-05
3.2688531187122734,-9.79700846060504e-06,3.893429837149809e-05,-3.202498166049931e-05
3.2459959758551307,-8.007180450557286e-06,3.893429837149809e-05,-2.5991275520454822e-05
3.2231388329979875,-9.205214090245617e-06,3.893429837149809e-05,-2.966968300033089e-05
3.200281690140845,-9.660743115109805e-06,3.893429837149809e-05,-3.091709930444014e-05
3.177424547283702,-7.655857874424517e-06,4.8667872964372623e-05,-2.4325910740711685e-05
3.154567404426559,-6.6909521441612675e-06,3.893429837149809e-05,-2.110705953854913e-05
3.1317102615694163,-9.144016865362072e-06,3.893429837149809e-05,-2.863641144921821e-05
3.1088531187122737,-8.472554193266927e-06,3.893429837149809e-05,-2.6339926527196636e-05
3.0859959758551305,-8.258505856309599e-06,3.893429837149809e-05,-2.548571583914745e-05
3.063138832997988,-8.44171503059632e-06,4.8667872964372623e-05,-2.5858145127322383e-05
3.0402816901408447,-8.453459208435214e-06,4.8667872964372623e-05,-2.5700897249758098e-05
3.017424547283702,-9.310784190674359e-06,4.8667872964372623e-05,-2.8094588771401827e-05
2.994567404426559,-8.559156808985229e-06,4.8667872964372623e-05,-2.5630971989562805e-05
2.971710261569416,-6.8686865341756844e-06,3.893429837149809e-05,-2.041174625711355e-05
2.9488531187122735,-9.684249045951118e-06,3.893429837149809e-05,-2.855742800153931e-05
2.9259959758551304,-7.17396149125016e-06,4.8667872964372623e-05,-2.0990982454337638e-05
2.9031388329979877,-1.0318293549117092e-05,3.893429837149809e-05,-2.995543869271446e-05
2.880281690140845,-6.420966355888095e-06,3.893429837149809e-05,-1.8494191827874863e-05
2.857424547283702,-8.6836450940775e-06,4.8667872964372623e-05,-2.481286065171674e-05
2.834567404426559,-8.833970570415322e-06,3.893429837149809e-05,-2.5040485030562772e-05
2.8117102615694165,-6.292672650951728e-06,4.8667872964372623e-05,-1.76931722653782e-05
2.7888531187122734,-6.467920406022558e-06,3.893429837149809e-05,-1.8038079995918766e-05
2.7659959758551307,-9.350714395326589e-06,4.8667872964372623e-05,-2.5864038388843985e-05
2.7431388329979876,-5.845779241740897e-06,3.893429837149809e-05,-1.6035784047152985e-05
2.720281690140845,-6.116637421999326e-06,3.893429837149809e-05,-1.663897678429507e-05
2.697424547283702,-9.158109878768776e-06,4.8667872964372623e-05,-2.4703310393712266e-05
2.674567404426559,-5.532200461877364e-06,3.893429837149809e-05,-1.4796243030090754e-05
2.6517102615694164,-7.613087775657289e-06,4.8667872964372623e-05,-2.0187702976939116e-05
2.6288531187122732,-6.805989566990706e-06,3.893429837149809e-05,-1.7891946899106713e-05
2.605995975855131,-7.387653961202295e-06,3.893429837149809e-05,-1.9252196493903398e-05
2.583138832997988,-7.559602071648871e-06,3.893429837149809e-05,-1.9527501673288236e-05
2.5602816901408447,-5.6814400662702685e-06,3.893429837149809e-05,-1.4546086975304355e-05
2.537424547283702,-4.924292137895079e-06,3.893429837149809e-05,-1.2495019748691114e-05
2.5145674044265593,-7.317205894185108e-06,3.893429837149809e-05,-1.8399607432995767e-05
2.491710261569416,-5.435967870050052e-06,3.893429837149809e-05,-1.3544856923365357e-05
2.468853118712273,-8.725924134297516e-06,3.893429837149809e-05,-2.154302501260711e-05
2.445995975855131,-4.774075409189033e-06,3.893429837149809e-05,-1.1677369239305311e-05
2.4231388329979877,-4.892599572358611e-06,3.893429837149809e-05,-1.1855448018091499e-05
2.4002816901408446,-8.559156808985244e-06,3.893429837149809e-05,-2.054438737165162e-05
2.377424547283702,-5.412496506189732e-06,3.893429837149809e-05,-1.2867802055902743e-05
2.354567404426559,-4.684884226519819e-06,3.893429837149809e-05,-1.10308756932757e-05
2.3317102615694165,-7.918800555177518e-06,3.893429837149809e-05,-1.846434851382901e-05
2.3088531187122734,-3.5855597825246772e-06,3.893429837149809e-05,-8.278530886211402e-06
2.2859959758551307,-6.258974882924189e-06,3.893429837149809e-05,-1.4307991395343034e-05
2.2631388329979876,-3.6583034692120204e-06,4.8667872964372623e-05,-8.279248644064981e-06
2.240281690140845,-6.912316656864168e-06,3.893429837149809e-05,-1.5485536442828372e-05
2.217424547283702,-3.992478992640382e-06,3.893429837149809e-05,-8.85302092279529e-06
2.194567404426559,-6.777817136910032e-06,3.893429837149809e-05,-1.48743765618265e-05
2.171710261569416,-5.1109483571365125e-06,3.893429837149809e-05,-1.1099498993544713e-05
2.1488531187122737,-5.028700663580101e-06,3.893429837149809e-05,-1.080593910400458e-05
2.1259959758551306,-3.891552128041011e-06,4.8667872964372623e-05,-8.273424164045659e-06
2.1031388329979874,-7.293723205179381e-06,3.893429837149809e-05,-1.5339712509951305e-05
2.080281690140845,-6.54851051702921e-06,3.893429837149809e-05,-1.3622746526270625e-05
2.057424547283702,-7.00789198256891e-06,3.893429837149809e-05,-1.4418208989649925e-05
2.034567404426559,-4.202707834097971e-06,4.8667872964372623e-05,-8.550692369583874e-06
2.0117102615694162,-4.616817271324892e-06,3.893429837149809e-05,-9.287698680515198e-06
1.9888531187122735,-5.259932641097654e-06,3.893429837149809e-05,-1.0461233437463555e-05
1.9659959758551309,-3.242178859328192e-06,4.8667872964372623e-05,-6.374110590441804e-06
1.9431388329979877,-6.435052570928432e-06,3.893429837149809e-05,-1.2504200542954575e-05
1.920281690140845,-7.0149350900890795e-06,4.8667872964372623e-05,-1.3470651411024578e-05
1.8974245472837021,-2.7079424011999132e-06,4.8667872964372623e-05,-5.138116384667087e-06
1.8745674044265592,-4.588651634692507e-06,4.8667872964372623e-05,-8.601736784663222e-06
1.8517102615694163,-7.232668213764484e-06,4.8667872964372623e-05,-1.3392805949954635e-05
1.8288531187122736,-3.4142601332286656e-06,4.8667872964372623e-05,-6.244180292750228e-06
1.8059959758551305,-6.3302268331282385e-06,3.893429837149809e-05,-1.1432364186879765e-05
1.7831388329979878,-5.554664130907213e-06,3.893429837149809e-05,-9.904737316081669e-06
1.7602816901408451,-7.476888179424062e-06,3.893429837149809e-05,-1.3161429361470694e-05
1.737424547283702,-2.4169676544505263e-06,3.893429837149809e-05,-4.199298932833057e-06
1.7145674044265593,-5.832633919289457e-06,3.893429837149809e-05,-1.0000443999966434e-05
1.6917102615694164,-4.6602890890667655e-06,3.893429837149809e-05,-7.883858873854235e-06
1.6688531187122733,-2.8018052227319725e-06,3.893429837149809e-05,-4.675801383980588e-06
1.6459959758551306,-6.102554603683136e-06,3.893429837149809e-05,-1.0044780320098643e-05
1.623138832997988,-4.644982907957275e-06,3.893429837149809e-05,-7.539452136517371e-06
1.6002816901408452,-7.186317373079875e-06,3.893429837149809e-05,-1.150013211168078e-05
1.577424547283702,-2.3447892496459302e-06,3.893429837149809e-05,-3.698728120598423e-06
1.5545674044265594,-2.5554153162103164e-06,3.893429837149809e-05,-3.972565355352947e-06
1.5317102615694167,-6.962617290198602e-06,3.893429837149809e-05,-1.0664712350777844e-05
1.5088531187122736,-3.7052348799780547e-06,3.893429837149809e-05,-5.590655204216384e-06
1.4859959758551309,-2.669753648274585e-06,3.893429837149809e-05,-3.967243177860588e-06
1.4631388329979877,-2.8111915048851816e-06,4.8667872964372623e-05,-4.113163457791561e-06
1.440281690140845,-6.734835206843031e-06,3.893429837149809e-05,-9.700059834531949e-06
1.417424547283702,-1.4404470474873367e-06,4.8667872964372623e-05,-2.0417250041708833e-06
1.3945674044265592,-3.591118670628912e-06,3.893429837149809e-05,-5.008057043486718e-06
1.3717102615694161,-5.909167209422422e-06,3.893429837149809e-05,-8.105665298494247e-06
1.3488531187122734,-2.618772720744456e-06,4.8667872964372623e-05,-3.532339751574785e-06
1.3259959758551307,-4.928986410667142e-06,3.893429837149809e-05,-6.535816145589255e-06
1.303138832997988,-1.0392801987571476e-06,4.8667872964372623e-05,-1.3543263853663064e-06
1.2802816901408454,-4.343502066396062e-06,4.8667872964372623e-05,-5.560906166695805e-06
1.2574245472837018,-4.926639274281112e-06,3.893429837149809e-05,-6.194877159093033e-06
1.234567404426559,-1.308755330800959e-06,3.893429837149809e-05,-1.6157466717763627e-06
1.2117102615694164,-4.521841427306976e-06,4.8667872964372623e-05,-5.479161658657559e-06
1.1888531187122737,-4.6027344530086985e-06,3.893429837149809e-05,-5.471975209063823e-06
1.1659959758551306,-2.1518051836224576e-06,3.893429837149809e-05,-2.508996184927996e-06
1.143138832997988,-1.1683104717405447e-06,4.8667872964372623e-05,-1.335541069244815e-06
1.1202816901408448,-4.2530111314899345e-06,3.893429837149809e-05,-4.764570498573371e-06
1.097424547283702,-3.448627296101606e-07,3.893429837149809e-05,-3.7846082491745224e-07
1.074567404426559,-3.6160651995225965e-06,4.8667872964372623e-05,-3.885705795688204e-06
1.0517102615694163,-3.692045535228291e-06,3.893429837149809e-05,-3.882962175581141e-06
1.0288531187122736,-4.8597441889171275e-06,4.8667872964372623e-05,-4.999962964911235e-06
1.005995975855131,-7.178775187803316e-07,4.8667872964372623e-05,-7.221818950498797e-07
0.9831388329979882,-4.500722292462263e-06,4.8667872964372623e-05,-4.424834862259379e-06
0.9602816901408446,-4.438434905986461e-06,4.8667872964372623e-05,-4.262147773100799e-06
0.937424547283702,-7.833768467518274e-07,4.8667872964372623e-05,-7.343566859188657e-07
0.9145674044265593,1.3606828787339662e-07,4.8667872964372623e-05,1.2444362086513822e-07
0.8917102615694166,-2.9144406085704453e-06,3.893429837149809e-05,-2.598836597396881e-06
0.8688531187122739,-2.382343431822443e-06,3.893429837149809e-05,-2.069906520582631e-06
0.8459959758551308,9.897755369139873e-07,4.8667872964372623e-05,8.373461212290847e-07
0.8231388329979876,-9.125959307370909e-07,3.893429837149809e-05,-7.511931494256414e-07
0.8002816901408449,9.897755369139867e-07,4.8667872964372623e-05,7.920992395415876e-07
0.7774245472837022,-2.513783069440234e-06,4.8667872964372623e-05,-1.954276664729009e-06
0.7545674044265591,-2.5624550278252227e-06,3.893429837149809e-05,-1.9335450393058647e-06
0.7317102615694164,-4.199348884368616e-07,4.8667872964372623e-05,-3.0727066706025973e-07
0.7088531187122737,-2.743503318155428e-07,3.893429837149809e-05,-1.9447408832719467e-07
0.6859959758551311,-3.6779627169121004e-06,3.893429837149809e-05,-2.5230676231469056e-06
0.6631388329979875,-7.601056081203523e-07,3.893429837149809e-05,-5.04055545924156e-07
0.6402816901408448,1.0929748819950676e-06,4.8667872964372623e-05,6.998118047252923e-07
0.6174245472837021,-2.673388343690412e-06,4.8667872964372623e-05,-1.650615587816579e-06
0.5945674044265594,-2.747834100351042e-06,3.893429837149809e-05,-1.6337725888405091e-06
0.5717102615694167,1.8712099554598633e-06,3.893429837149809e-05,1.0697899330872551e-06
0.5488531187122736,-9.241032264078436e-07,3.893429837149809e-05,-5.071969378260192e-07
0.5259959758551305,-1.3633574827531568e-06,3.893429837149809e-05,-7.171205495801409e-07
0.5031388329979878,2.0587999259320303e-06,4.8667872964372623e-05,1.0358621921097854e-06
0.4802816901408451,-2.710288971738218e-06,5.840144755724714e-05,-1.3017021681165244e-06
0.4574245472837024,-1.2055559857198794e-06,4.8667872964372623e-05,-5.514509009930734e-07
0.4345674044265593,-8.424188232502284e-07,4.8667872964372623e-05,-3.660877614599282e-07
0.4117102615694166,1.4397530233738754e-06,4.8667872964372623e-05,5.927610938486165e-07
0.38885311871227346,-1.53663325098405e-06,4.8667872964372623e-05,-5.975246319621275e-07
0.3659959758551308,1.7801887026486204e-06,4.8667872964372623e-05,6.515419014321611e-07
0.34313883299798764,5.6304119120026144e-08,4.8667872964372623e-05,1.9320129727825453e-08
0.32028169014084495,-9.548240200771095e-07,4.8667872964372623e-05,-3.058126509373727e-07
0.29742454728370227,-1.982852104864751e-06,4.8667872964372623e-05,-5.897488896199348e-07
0.2745674044265596,2.9193689154731013e-06,4.8667872964372623e-05,8.015635456850296e-07
0.2517102615694169,-1.9706441692009142e-07,4.8667872964372623e-05,-4.9603135928980835e-08
0.22885311871227332,4.10451940663383e-07,4.8667872964372623e-05,9.393320670232015e-08
0.20599597585513063,3.0108190260782847e-06,4.8667872964372623e-05,6.202166034001902e-07
0.18313883299798794,2.185949763990138e-06,4.8667872964372623e-05,4.0033228876938107e-07
0.16028169014084526,-1.4310630276339985e-07,4.8667872964372623e-05,-2.2937320076725242e-08
0.13742454728370213,4.553746533211864e-06,4.8667872964372623e-05,6.257965557713684e-07
0.11456740442655944,2.5177888036481865e-06,4.8667872964372623e-05,2.8845652812822505e-07
0.09171026156941631,1.6081965729074975e-06,4.8667872964372623e-05,1.4748812835638548e-07
0.06885311871227362,5.476307863428483e-06,4.8667872964372623e-05,3.7706087542559886e-07
0.04599597585513049,2.003005470437312e-06,5.840144755724714e-05,9.213019125592888e-08
0.0231388329979878,4.11660813706353e-06,4.8667872964372623e-05,9.52535082016707e-08
0.00028169014084511446,2.838959256255079e-06,4.8667872964372623e-05,7.997068327480347e-10
-0.022575452716297573,7.889046973179825e-06,5.840144755724714e-05,-1.7809880691967163e-07
-0.04543259557344026,7.185923357031916e-06,4.8667872964372623e-05,-3.264751497017692e-07
-0.06828973843058384,1.0609502624090765e-05,4.8667872964372623e-05,-7.245201590777511e-07
-0.09114688128772652,8.578386274557938e-06,5.840144755724714e-05,-7.818931554073949e-07
-0.11400402414486921,1.2611265998850466e-05,5.840144755724714e-05,-1.4377350734303165e-06
-0.1368611670020119,1.6015941848130857e-05,5.840144755724714e-05,-2.1919604919715484e-06
-0.15971830985915458,1.9118602534862067e-05,6.813502215012167e-05,-3.053590883737118e-06
-0.18257545271629771,3.0189746611383715e-05,6.813502215012167e-05,-5.511906654963697e-06
-0.20543259557344085,3.795018816409994e-05,7.786859674299618e-05,-7.796205657051525e-06
-0.22828973843058353,4.530494046997838e-05,8.760217133587072e-05,-1.0342653009504523e-05
-0.2511468812877262,5.893908496271195e-05,9.733574592874525e-05,-1.4802367374337428e-05
-0.27400402414486935,6.80741580473279e-05,0.00011680289511449428,-1.8652593245241685e-05
-0.29686116700201204,8.865560913460751e-05,0.0001265364697073688,-2.6318407588973824e-05
-0.3197183098591547,0.00010607644712329957,0.00013627004430024335,-3.391458239012534e-05
-0.3425754527162983,0.00012779154329227115,0.0001654707680788669,-4.3778245796664225e-05
-0.36543259557344054,0.00014830990870959654,0.00018493791726461594,-5.419727488900788e-05
-0.3882897384305837,0.00017312892744817204,0.00020440506645036496,-6.722418595361822e-05
-0.4111468812877268,0.0001995579230986114,0.00023360579022898857,-8.20476177182501e-05
-0.43400402414486905,0.00022633507520137524,0.00026280651400761217,-9.823033344252842e-05
-0.4568611670020122,0.0002563567620820814,0.0002920072377862357,-0.0001171194494936769
-0.4797183098591544,0.00029301644544457484,0.00032120796156485926,-0.00014056535396960858
-0.5025754527162976,0.0003238795380424184,0.0003504086853434829,-0.00016277390545721375
-0.5254325955734407,0.00035047500038612933,0.00037960940912210646,-0.00018415098913648656
-0.5482897384305838,0.0003840647975428672,0.00041854370749360445,-0.00021057878738517377
-0.5711468812877261,0.0004179566965605365,0.00044774443127222814,-0.00023871466375387088
-0.5940040241448692,0.0004533650549460692,0.0004866787296437261,-0.0002693006670446248
-0.6168611670020114,0.0004961568685167891,0.0005256130280152243,-0.00030605990492933006
-0.6397183098591555,0.0005328217187621451,0.0005548137517938478,-0.0003408558093827697
-0.6625754527162977,0.0005681553559292273,0.000593748050165346,-0.000376445792167997
-0.6854325955734408,0.0006002575623363186,0.0006229487739439695,-0.00041143609896476926
-0.7082897384305831,0.0006386000868740724,0.0006618830723154676,-0.0004523138884937844
-0.7311468812877262,0.0006771920227160202,0.0007008173706869658,-0.0004951268354417452
-0.7540040241448693,0.0007244662245981314,0.0007494852436513383,-0.0005462504487040318
-0.7768611670020116,0.0007645742486647616,0.0007884195420228364,-0.0005939680430773928
-0.7997183098591547,0.0008040954098838287,0.0008273538403943345,-0.0006430498221577998
-0.8225754527162978,0.0008426687507716283,0.0008662881387658327,-0.0006931586291558493
-0.845432595573441,0.0008773697790628925,0.0009052224371373307,-0.0007417570095908376
-0.8682897384305832,0.0009174679811571727,0.0009441567355088288,-0.0007966280333773967
-0.8911468812877263,0.0009604619597504528,0.0009928246084732013,-0.0008559126800271138
-0.9140040241448686,0.0010071073755244626,0.0010317589068446996,-0.0009205001939753361
-0.9368611670020126,0.0010477646580378144,0.0010706932052161975,-0.0009816100202727715
-0.9597183098591549,0.0010842842069925184,0.0011096275035876956,-0.0010406074065418339
-0.982575452716298,0.0011254095240042243,0.0011485618019591937,-0.0011057997725396841
